Title,Price,Location,Surface,Number_of_Rooms,Floor,Finishing_Condition,Heating,Parking_Space,Balcony_Garden_Terrace,Link,Voivodeship,City
"Ogródek 32 m2, 2 pokoje zielona okolica",578280.0,"Wólka Węglowa, Bielany, Warszawa, mazowieckie",48.19,2 ,parter/4,do wykończenia,miejskie,garaż/miejsce parkingowe,"balkon, ogródek, taras",https://www.otodom.pl/pl/oferta/ogrodek-32-m2-2-pokoje-zielona-okolica-ID4nU5B,Mazowieckie,Warszawa
"Mieszkanie, 45,10 m², Włocławek",199000.0,"Włocławek, kujawsko-pomorskie",45.1,2 ,parter/1,do remontu,gazowe,,,https://www.otodom.pl/pl/oferta/mieszkanie-45-10-m-wloclawek-ID4mUo6,Kujawsko-pomorskie,Włocławek
"Mieszkanie, 48,60 m², Włocławek",270000.0,"Włocławek, kujawsko-pomorskie",48.6,2 ,2/4,,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-48-60-m-wloclawek-ID4nH65,Kujawsko-pomorskie,Włocławek
3-pokojowe mieszkanie 64m2 + ogródek Bezpośrednio,709060.0,"ul. Ruczajowa, Maślice, Fabryczna, Wrocław, dolnośląskie",64.46,3 ,1/1,do wykończenia,,,"balkon, ogródek",https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-64m2-ogrodek-bezposrednio-ID4nKlc,Dolnośląskie,Wrocław
Świetna pasywna inwestycja w mieszkanie na wynajem,749000.0,"ul. Stanisława Skarżyńskiego, Zaspa-Młyniec, Gdańsk, pomorskie",78.0,6 ,3/4,do zamieszkania,miejskie,,"balkon, taras",https://www.otodom.pl/pl/oferta/swietna-pasywna-inwestycja-w-mieszkanie-na-wynajem-ID4nDPH,Pomorskie,Gdańsk
Mieszkanie 2-pokojowe Nowe Miasto,455000.0,"Nowe Miasto, Białystok, podlaskie",56.93,2 ,4/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-nowe-miasto-ID4nU5q,Podlaskie,Białystok
Klimatyzowany apartament z ogródkiem 70m²/Górna,799000.0,"ul. Górna, KSM, Kielce, świętokrzyskie",64.0,3 ,parter/8,do zamieszkania,miejskie,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/klimatyzowany-apartament-z-ogrodkiem-70m-gorna-ID4nM44,Świętokrzyskie,Kielce
Apartament 3-pokoje z Widokami na Panoramę Miasta,1470000.0,"ul. Okopowa, Nowolipki, Wola, Warszawa, mazowieckie",72.3,3 ,8/17,do zamieszkania,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/apartament-3-pokoje-z-widokami-na-panorame-miasta-ID4nIIv,Mazowieckie,Warszawa
Ładne 3-pokojowe na parterze na Zabobrzu I,355000.0,"Zabobrze, Jelenia Góra, dolnośląskie",51.1,3 ,parter/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/ladne-3-pokojowe-na-parterze-na-zabobrzu-i-ID4nIIu,Dolnośląskie,Jelenia Góra
"Mieszkanie 2 pokojowe 40,1 m2 z ogródkiem JUŻ JEST",487215.0,"ul. Mariana Hemara 9b, Białołęka Dworska, Białołęka, Warszawa, mazowieckie",40.1,2 ,parter/2,do wykończenia,kotłownia,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-40-1-m2-z-ogrodkiem-juz-jest-ID4nM9n,Mazowieckie,Warszawa
Gotowy apartament w stanie deweloperskim,363250.0,"Karpacz, karkonoski, dolnośląskie",29.06,1 ,1/2,do wykończenia,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/gotowy-apartament-w-stanie-deweloperskim-ID4go5o,Dolnośląskie,karkonoski
"Oddzielna kuchnia, 2 pokoje, idealne pod kredyt 2%",595443.0,"Wólka Węglowa, Bielany, Warszawa, mazowieckie",48.41,2 ,2/3,do wykończenia,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/oddzielna-kuchnia-2-pokoje-idealne-pod-kredyt-2-ID4nU5p,Mazowieckie,Warszawa
Wykończone i wyposażone bez PCC/prowizji,799000.0,"Tarnogaj, Krzyki, Wrocław, dolnośląskie",62.4,3 ,2/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/wykonczone-i-wyposazone-bez-pcc-prowizji-ID4nNrh,Dolnośląskie,Wrocław
Nowe-Gotowe | 2 pok. | 43m2 | Garaż | Bezpośrednio,858000.0,"Siedlce, Gdańsk, pomorskie",43.56,2 ,1,do zamieszkania,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowe-gotowe-2-pok-43m2-garaz-bezposrednio-ID4nU5n,Pomorskie,Gdańsk
"70,40m2, 3 pokoje, 2 garderoby, osiedle zamknięte!",365000.0,"Włocławek, kujawsko-pomorskie",70.4,3 ,3/3,,miejskie,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/70-40m2-3-pokoje-2-garderoby-osiedle-zamkniete-ID4neDa,Kujawsko-pomorskie,Włocławek
"Śródmieście, 57 m2 - idealne pod wynajem",367000.0,"ul. Wojewódzka, Śródmieście, Katowice, śląskie",57.0,3 ,3/4,do remontu,inne,,,https://www.otodom.pl/pl/oferta/srodmiescie-57-m2-idealne-pod-wynajem-ID4nH0c,Śląskie,Katowice
Idealne dla Rodziny Ogród Kameralna Inwestycja,875000.0,"ul. gen. Tadeusza Kutrzeby, Ołtaszyn, Krzyki, Wrocław, dolnośląskie",81.17,4 ,parter/1,,inne,,,https://www.otodom.pl/pl/oferta/idealne-dla-rodziny-ogrod-kameralna-inwestycja-ID4nU5l,Dolnośląskie,Wrocław
Wille Miejskie Gotowe Funkcjonany układ,678137.0,"Działoszyńska, Swojczyce, Psie Pole, Wrocław, dolnośląskie",58.01,3 ,1/2,,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/wille-miejskie-gotowe-funkcjonany-uklad-ID4nU5k,Dolnośląskie,Wrocław
Dwustronne Dwa Tarasy Funkcjonalny układ,691400.0,"ul. Ibn Siny Awicenny, Muchobór Wielki, Fabryczna, Wrocław, dolnośląskie",58.1,3 ,parter/3,,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/dwustronne-dwa-tarasy-funkcjonalny-uklad-ID4nU5j,Dolnośląskie,Wrocław
Mieszkanie na parterze po generalnym remoncie,260000.0,"ul. Stefana Okrzei, Złocieniec, Złocieniec, drawski, zachodniopomorskie",40.1,2 ,parter/2,do zamieszkania,,,,https://www.otodom.pl/pl/oferta/mieszkanie-na-parterze-po-generalnym-remoncie-ID4nU5i,Zachodniopomorskie,drawski
Dla Rodziny Duzy taras Jasne Dużo Okien Sprawdź,946975.0,"ul. Ibn Siny Awicenny, Muchobór Wielki, Fabryczna, Wrocław, dolnośląskie",85.6,5 ,parter/3,,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/dla-rodziny-duzy-taras-jasne-duzo-okien-sprawdz-ID4nU5h,Dolnośląskie,Wrocław
Atrakcyjne mieszkanie gotowe do wprowadzenia,215000.0,"ul. Drawska, Złocieniec, Złocieniec, drawski, zachodniopomorskie",33.11,2 ,1/1,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-gotowe-do-wprowadzenia-ID4nU5f,Zachodniopomorskie,drawski
Na start Bezpieczny Kredyt 2% Dużo Zieleni Winda,401346.0,"ul. Boiskowa, Bieńkowice, Krzyki, Wrocław, dolnośląskie",40.54,2 ,1/2,,miejskie,,,https://www.otodom.pl/pl/oferta/na-start-bezpieczny-kredyt-2-duzo-zieleni-winda-ID4nU5d,Dolnośląskie,Wrocław
Narożne Funkcjonalne Bezpieczny kredyt 2%,472055.0,"ul. Boiskowa, Bieńkowice, Krzyki, Wrocław, dolnośląskie",49.69,3 ,1/2,,miejskie,,,https://www.otodom.pl/pl/oferta/narozne-funkcjonalne-bezpieczny-kredyt-2-ID4nU5g,Dolnośląskie,Wrocław
Narożne Trójstronne M. dla Rodziny Kredyt 2%,459536.0,"ul. Tadeusza Kościuszki, Zacharzyce, Siechnice, wrocławski, dolnośląskie",59.68,3 ,2/2,,inne,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/narozne-trojstronne-m-dla-rodziny-kredyt-2-ID4nU5c,Dolnośląskie,wrocławski
Bezpieczny Kredyt 2% Idealne na start Ogródek,340380.0,"ul. Tadeusza Kościuszki, Zacharzyce, Siechnice, wrocławski, dolnośląskie",37.82,2 ,parter/2,,inne,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/bezpieczny-kredyt-2-idealne-na-start-ogrodek-ID4nU5b,Dolnośląskie,wrocławski
Lokal mieszkalny na 3 strony świata ORZEPOWICE,323000.0,"ul. Borki, Orzepowice, Rybnik, śląskie",55.9,3 ,4/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/lokal-mieszkalny-na-3-strony-swiata-orzepowice-ID4nTGL,Śląskie,Rybnik
"Sprzedam 3-pokojowe, blisko centrum, dwie łazienki",1320000.0,"ul. gen. Augusta Fieldorfa-Nila, Krowodrza Górka, Prądnik Biały, Kraków, małopolskie",73.3,3 ,7/7,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/sprzedam-3-pokojowe-blisko-centrum-dwie-lazienki-ID4nE75,Małopolskie,Kraków
Idealne na start mieszkanie z tarasem Bk 2%,496896.0,"ul. Rudawska, Poświętne, Psie Pole, Wrocław, dolnośląskie",38.82,2 ,parter/4,,,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/idealne-na-start-mieszkanie-z-tarasem-bk-2-ID4nU5a,Dolnośląskie,Wrocław
"Dwa pokoje, duży balkon idealne dla pary",554580.0,"Wólka Węglowa, Bielany, Warszawa, mazowieckie",42.66,2 ,1/3,do wykończenia,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/dwa-pokoje-duzy-balkon-idealne-dla-pary-ID4nU55,Mazowieckie,Warszawa
Stylowe mieszkanie Czeladź-Piaski. CO miejskie.,199000.0,"Czeladź, będziński, śląskie",34.0,1 ,2,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/stylowe-mieszkanie-czeladz-piaski-co-miejskie-ID4nU50,Śląskie,będziński
"Mieszkanie na sprzedaż, ul. Bochenka",730000.0,"ul. Adama Bochenka, Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie",47.23,2 ,10/10,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-ul-bochenka-ID4nIId,Małopolskie,Kraków
Wola/Bemowo - Cesja: Nowe 36m2 z pięknym widokiem,619000.0,"ul. Marynin, Koło, Wola, Warszawa, mazowieckie",36.0,2 ,1/4,do wykończenia,miejskie,,,https://www.otodom.pl/pl/oferta/wola-bemowo-cesja-nowe-36m2-z-pieknym-widokiem-ID4mSY0,Mazowieckie,Warszawa
"sprzedam mieszkanie 30,5m2 ul. Dąbrowskiego 17A/5",590000.0,"ul. Jarosława Dąbrowskiego, Stary Mokotów, Mokotów, Warszawa, mazowieckie",30.5,1 ,1/4,do zamieszkania,miejskie,,ogródek,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-30-5m2-ul-dabrowskiego-17a-5-ID4mNPY,Mazowieckie,Warszawa
Dwa pokoje z odzielną kuchnią i dużym balkonem,666000.0,"Wólka Węglowa, Bielany, Warszawa, mazowieckie",55.5,2 ,2/3,do wykończenia,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/dwa-pokoje-z-odzielna-kuchnia-i-duzym-balkonem-ID4nU4Z,Mazowieckie,Warszawa
Duży ogród- 4 km od Bielska-Białej,744000.0,"Biała Śródmieście, Bielsko-Biała, śląskie",101.32,4 ,parter/1,do wykończenia,,,"balkon, ogródek",https://www.otodom.pl/pl/oferta/duzy-ogrod-4-km-od-bielska-bialej-ID4mIi4,Śląskie,Bielsko-Biała
mieszkanie na osiedlu Górniczym w Kowarach,330000.0,"Kowary, karkonoski, dolnośląskie",62.8,3 ,parter/2,do zamieszkania,gazowe,,,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-gorniczym-w-kowarach-ID4nU4W,Dolnośląskie,karkonoski
Apartament przy Gubałówce /92m2/ LiderHouse,625000.0,"Warszewo, Północ, Szczecin, zachodniopomorskie",92.0,4 ,,do wykończenia,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/apartament-przy-gubalowce-92m2-liderhouse-ID4ciK8,Zachodniopomorskie,Szczecin
"Komfortowe, nowoczesne, blisko centrum i WSB",498000.0,"Mokre, Toruń, kujawsko-pomorskie",49.9,3 ,2/5,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/komfortowe-nowoczesne-blisko-centrum-i-wsb-ID4mSK5,Kujawsko-pomorskie,Toruń
☀️ NAROŻNE ⭐ Zielona okolica ✅ Dobry rozkład,665280.0,"Księże, Krzyki, Wrocław, dolnośląskie",55.44,2 ,2/4,do wykończenia,miejskie,,balkon,https://www.otodom.pl/pl/oferta/narozne-zielona-okolica-dobry-rozklad-ID4nU4U,Dolnośląskie,Wrocław
Nowe mieszkanie Stara Cegielnia C611,749600.0,"ul. Ceglana, Kopanina, Grunwald, Poznań, wielkopolskie",74.96,4 ,1/3,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-stara-cegielnia-c611-ID4967f,Wielkopolskie,Poznań
Gustowny apartament z garderobą + miejsce w garażu,745000.0,"ul. Architektów, Zawiszy Czarnego, Rzeszów, podkarpackie",62.7,3 ,5/5,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/gustowny-apartament-z-garderoba-miejsce-w-garazu-ID4nOXH,Podkarpackie,Rzeszów
"Dwa pokoje, 42 m2,Parter-Zatorze",354000.0,"Osiedle Wojska Polskiego, Olsztyn, warmińsko-mazurskie",42.0,2 ,parter/4,,miejskie,,balkon,https://www.otodom.pl/pl/oferta/dwa-pokoje-42-m2-parter-zatorze-ID4nSWu,Warmińsko-mazurskie,Olsztyn
Nowoczesne nieszkanie z dwoma ogródkami!,995000.0,"ul. Dobrego Pasterza, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",50.22,2 ,parter/5,do zamieszkania,miejskie,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/nowoczesne-nieszkanie-z-dwoma-ogrodkami-ID4nU4R,Małopolskie,Kraków
"Pilna Sprzedaż !! 2 poziomowe, piękny widok",709000.0,"ul. Leona Staniszewskiego, Wiczlino, Gdynia, pomorskie",74.7,3 ,3/3,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/pilna-sprzedaz-2-poziomowe-piekny-widok-ID4lSi9,Pomorskie,Gdynia
"Mieszkanie 2 pokoje 47,17 m2",360000.0,"Trzebnica, Trzebnica, trzebnicki, dolnośląskie",47.17,2 ,2,do zamieszkania,gazowe,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-47-17-m2-ID4neFY,Dolnośląskie,trzebnicki
Ostatnie 2 pokoje taras Paderewskiego Graniczna,544000.0,"Osiedle Paderewskiego-Muchowiec, Katowice, śląskie",44.0,2 ,parter/7,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/ostatnie-2-pokoje-taras-paderewskiego-graniczna-ID4nU4P,Śląskie,Katowice
3 pokoje Wolska 5/13 Rondo Daszyńskiego 56m2,810000.0,"Wolska 5/13, Czyste, Wola, Warszawa, mazowieckie",56.0,3 ,parter/10,,miejskie,,,https://www.otodom.pl/pl/oferta/3-pokoje-wolska-5-13-rondo-daszynskiego-56m2-ID4nU4O,Mazowieckie,Warszawa
ŚCISŁE CENTRUM ! 2 pokoje !! Bezpośrednio !!!,675000.0,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",40.28,2 ,> 10/15,do remontu,miejskie,,,https://www.otodom.pl/pl/oferta/scisle-centrum-2-pokoje-bezposrednio-ID4nCPk,Mazowieckie,Warszawa
"Mieszkanie 52m2, Duży ogródek, Działkowa Pruszków",666000.0,"Miasto ogród, Parzniew, Brwinów, pruszkowski, mazowieckie",52.0,2 ,parter/2,,miejskie,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/mieszkanie-52m2-duzy-ogrodek-dzialkowa-pruszkow-ID4nU4M,Mazowieckie,pruszkowski
Tylko U Nas! Tylko 3.470zł/m2!,189000.0,"Wodzisław Śląski, wodzisławski, śląskie",54.4,2 ,1/3,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/tylko-u-nas-tylko-3-470zl-m2-ID4nc5B,Śląskie,wodzisławski
Bezrzezcze/Apartamenty 92m2/ LiderHouse Deweloper,599000.0,"Bezrzecze, Dobra (Szczecińska), policki, zachodniopomorskie",92.0,3 ,,do wykończenia,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/bezrzezcze-apartamenty-92m2-liderhouse-deweloper-ID4cHqY,Zachodniopomorskie,policki
Mieszkanie z ogrodem|Kraków - Wieliczka|3 - pok.,495000.0,"Wieliczka, Wieliczka, wielicki, małopolskie",52.94,3 ,parter/4,do wykończenia,,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodem-krakow-wieliczka-3-pok-ID4mbSA,Małopolskie,wielicki
"Mieszkanie 52,40m, Rumia, IV piętro",645000.0,"Osiedle Marine, Rumia, wejherowski, pomorskie",52.4,2 ,4/4,do zamieszkania,miejskie,,"balkon, taras",https://www.otodom.pl/pl/oferta/mieszkanie-52-40m-rumia-iv-pietro-ID4nU2T,Pomorskie,wejherowski
"Mieszkanie na Bemowie, 3 pokoje, księga wieczysta.",680000.0,"ul. Synów Pułku, Jelonki Południowe, Bemowo, Warszawa, mazowieckie",52.0,3 ,7/11,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-na-bemowie-3-pokoje-ksiega-wieczysta-ID4nMVz,Mazowieckie,Warszawa
Greeneri Park - 3pok. + balkon 18m2,967050.0,"ul. Wojciecha Bogusławskiego, Świnoujście, zachodniopomorskie",46.05,3 ,3/4,do wykończenia,miejskie,,balkon,https://www.otodom.pl/pl/oferta/greeneri-park-3pok-balkon-18m2-ID4mPCN,Zachodniopomorskie,Świnoujście
Przestronne i słoneczne 4 pok. / 0%,750000.0,"ul. Bolesława Chrobrego, Świnoujście, zachodniopomorskie",82.44,4 ,8/10,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/przestronne-i-sloneczne-4-pok-0-ID4ntl7,Zachodniopomorskie,Świnoujście
Zielona Przystań - pełna oferta - od 2 do 4 pok.,947160.0,"ul. Nowokarsiborska, Świnoujście, zachodniopomorskie",70.16,4 ,4/4,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/zielona-przystan-pelna-oferta-od-2-do-4-pok-ID4nONI,Zachodniopomorskie,Świnoujście
Zielona Przystań - pełna oferta - od 2 do 4 pok.,559680.0,"ul. Nowokarsiborska, Świnoujście, zachodniopomorskie",42.4,2 ,1/4,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/zielona-przystan-pelna-oferta-od-2-do-4-pok-ID4nOJq,Zachodniopomorskie,Świnoujście
kredyt 2% | Piękny i duży Ogródek|OSTATNIE|SPRAWDŹ,544705.0,"ul. Ignacego Mościckiego, Bieńkowice, Krzyki, Wrocław, dolnośląskie",69.0,4 ,parter,,miejskie,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/kredyt-2-piekny-i-duzy-ogrodek-ostatnie-sprawdz-ID4nU37,Dolnośląskie,Wrocław
"SPRZEDAM MIESZKANIE os. Dolnośląskie 61,m2",290000.0,"os. Dolnośląskie, Bełchatów, bełchatowski, łódzkie",61.0,3 ,3/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-os-dolnoslaskie-61-m2-ID4nNoV,Łódzkie,bełchatowski
"M3, wysoki parter, w okolicy jeziora Tarpno",318000.0,"ul. Lipowa, Grudziądz, kujawsko-pomorskie",44.26,2 ,parter/2,do wykończenia,miejskie,,,https://www.otodom.pl/pl/oferta/m3-wysoki-parter-w-okolicy-jeziora-tarpno-ID4nU2S,Kujawsko-pomorskie,Grudziądz
Alchemia zakończenie budowy w tym roku,328000.0,"ul. Marii Curie-Skłodowskiej, Słupsk, pomorskie",43.83,2 ,3/3,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/alchemia-zakonczenie-budowy-w-tym-roku-ID4nlEm,Pomorskie,Słupsk
Brick House- Nowy standard w Koszalinie,310000.0,"ul. Powstańców Wielkopolskich, Koszalin, zachodniopomorskie",42.39,2 ,1/3,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/brick-house-nowy-standard-w-koszalinie-ID4mZWJ,Zachodniopomorskie,Koszalin
"Unikalny APARTAMENT z antresolą, tarasem, balkonem",1173000.0,"ul. Karola Kniaziewicza, Słupsk, pomorskie",138.36,4 ,4/5,do wykończenia,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/unikalny-apartament-z-antresola-tarasem-balkonem-ID4mZKm,Pomorskie,Słupsk
Nowa inwestycja w centrum miasta,220000.0,"ul. Ludwika Solskiego, Słupsk, pomorskie",27.93,1 ,3/3,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowa-inwestycja-w-centrum-miasta-ID4mLlS,Pomorskie,Słupsk
Nowy blok w centrum - promocja w przedsprzedaży,327000.0,"ul. Władysława Stanisława Reymonta, Słupsk, pomorskie",45.3,2 ,1/3,do wykończenia,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/nowy-blok-w-centrum-promocja-w-przedsprzedazy-ID4mFcH,Pomorskie,Słupsk
Nowy blok w centrum,373000.0,"ul. Władysława Stanisława Reymonta, Słupsk, pomorskie",56.11,3 ,3/3,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowy-blok-w-centrum-ID4mFc6,Pomorskie,Słupsk
Apartamentowiec w centrum,368000.0,"ul. Karola Kniaziewicza, Słupsk, pomorskie",48.66,3 ,2/4,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/apartamentowiec-w-centrum-ID4mDeE,Pomorskie,Słupsk
"Nowe mieszkanie, Alchemia Centrum!",270000.0,"ul. Marii Curie-Skłodowskiej, Słupsk, pomorskie",34.83,1 ,2/3,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-alchemia-centrum-ID4mmyf,Pomorskie,Słupsk
Nowoczesny apartamentowiec w centrum,600000.0,"ul. Karola Kniaziewicza, Słupsk, pomorskie",85.51,5 ,1/4,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowoczesny-apartamentowiec-w-centrum-ID4mnBp,Pomorskie,Słupsk
Alchemia przestronne mieszkanie na 3 pietrze,355000.0,"ul. Marii Curie-Skłodowskiej, Słupsk, pomorskie",47.37,2 ,3/3,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/alchemia-przestronne-mieszkanie-na-3-pietrze-ID4kwTO,Pomorskie,Słupsk
Słupsk -osiedle Niepodległości !!! OSTATNI OGRÓDEK,405000.0,"Słupsk, pomorskie",57.67,3 ,parter/1,do wykończenia,gazowe,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/slupsk-osiedle-niepodleglosci-ostatni-ogrodek-ID4a04H,Pomorskie,Słupsk
Słupsk -osiedle Niepodległości !!!!,379000.0,"ul. Stanisława Szpilewskiego, Słupsk, pomorskie",65.31,3 ,1/1,do wykończenia,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/slupsk-osiedle-niepodleglosci-ID4kfFH,Pomorskie,Słupsk
Mieszkanie z przeszkleniami i dużym POTENCJAŁEM,729000.0,"ul. Bułgarska, Marcelin, Grunwald, Poznań, wielkopolskie",72.35,3 ,3/13,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-z-przeszkleniami-i-duzym-potencjalem-ID4nOlZ,Wielkopolskie,Poznań
"Nowe, gotowe do zamieszkania od właściciela FILTRY",1024800.0,"ul. Filtrowa, Bronowice, Bronowice, Kraków, małopolskie",48.8,2 ,1/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowe-gotowe-do-zamieszkania-od-wlasciciela-filtry-ID4nU2V,Małopolskie,Kraków
"Piątkowo,ul. Mateckiego, kawalerka+sypialnia,2013'",399000.0,"ul. Teofila Mateckiego, Piątkowo, Stare Miasto, Poznań, wielkopolskie",28.0,1 ,1/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/piatkowo-ul-mateckiego-kawalerka-sypialnia-2013-ID4nU34,Wielkopolskie,Poznań
PROMOCJA | NajlepszaCENA | Bezpieczny Kredyt 2%HIT,455000.0,"ul. Ignacego Mościckiego, Bieńkowice, Krzyki, Wrocław, dolnośląskie",60.0,3 ,1,,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/promocja-najlepszacena-bezpieczny-kredyt-2-hit-ID4nU33,Dolnośląskie,Wrocław
Mieszkanie 60.80m2 z garażem podziemnym w Markach,669000.0,"ul. Tadeusza Kościuszki, Marki, wołomiński, mazowieckie",60.8,3 ,1/1,,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-60-80m2-z-garazem-podziemnym-w-markach-ID4nza0,Mazowieckie,wołomiński
"Radzymin ciche M5 137,87m2 2 m.postojowe",695000.0,"ul. Stanisława Marszała, Radzymin, Radzymin, wołomiński, mazowieckie",137.87,3 ,parter/1,do wykończenia,gazowe,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/radzymin-ciche-m5-137-87m2-2-m-postojowe-ID4nlxf,Mazowieckie,wołomiński
Piękne 3 pokoje po remoncie osobn kuchnia Park Gaj,720000.0,"Borowska OK Jabłeczna Orzechowa Krzyki GAJ, Gaj, Krzyki, Wrocław, dolnośląskie",65.8,3 ,3/11,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/piekne-3-pokoje-po-remoncie-osobn-kuchnia-park-gaj-ID4nLQa,Dolnośląskie,Wrocław
Mieszkanie 61.90m2 z garażem podziemnym w Markach,680000.0,"ul. Tadeusza Kościuszki, Marki, wołomiński, mazowieckie",61.9,3 ,1/1,,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-61-90m2-z-garazem-podziemnym-w-markach-ID4nza8,Mazowieckie,wołomiński
